W(H)1m,mean(H)1m,stdev(H)1m,W(M)1m,mean(M)1m,stdev(M)1m,W(HH)1m,mean(HH)1m,stdev(HH)1m,magnitud(HH)1m,radius(HH)1m,covariance(HH)1m,correlation(HH)1m,W(HH_jit)1m,mean(HH_jit)1m,stdev(HH_jit)1m,W(HpHp)1m,mean(HpHp)1m,stdev(HpHp)1m,magnitud(HpHp)1m,radius(HpHp)1m,covariance(HpHp)1m,correlation(HpHp)1m,W(H)10s,mean(H)10s,stdev(H)10s,W(M)10s,mean(M)10s,stdev(M)10s,W(HH)10s,mean(HH)10s,stdev(HH)10s,magnitud(HH)10s,radius(HH)10s,covariance(HH)10s,correlation(HH)10s,W(HH_jit)10s,mean(HH_jit)10s,stdev(HH_jit)10s,W(HpHp)10s,mean(HpHp)10s,stdev(HpHp)10s,magnitud(HpHp)10s,radius(HpHp)10s,covariance(HpHp)10s,correlation(HpHp)10s,W(H)1.5s,mean(H)1.5s,stdev(H)1.5s,W(M)1.5s,mean(M)1.5s,stdev(M)1.5s,W(HH)1.5s,mean(HH)1.5s,stdev(HH)1.5s,magnitud(HH)1.5s,radius(HH)1.5s,covariance(HH)1.5s,correlation(HH)1.5s,W(HH_jit)1.5s,mean(HH_jit)1.5s,stdev(HH_jit)1.5s,W(HpHp)1.5s,mean(HpHp)1.5s,stdev(HpHp)1.5s,magnitud(HpHp)1.5s,radius(HpHp)1.5s,covariance(HpHp)1.5s,correlation(HpHp)1.5s,W(H)500ms,mean(H)500ms,stdev(H)500ms,W(M)500ms,mean(M)500ms,stdev(M)500ms,W(HH)500ms,mean(HH)500ms,stdev(HH)500ms,magnitud(HH)500ms,radius(HH)500ms,covariance(HH)500ms,correlation(HH)500ms,W(HH_jit)500ms,mean(HH_jit)500ms,stdev(HH_jit)500ms,W(HpHp)500ms,mean(HpHp)500ms,stdev(HpHp)500ms,magnitud(HpHp)500ms,radius(HpHp)500ms,covariance(HpHp)500ms,correlation(HpHp)500ms,W(H)100ms,mean(H)100ms,stdev(H)100ms,W(M)100ms,mean(M)100ms,stdev(M)100ms,W(HH)100ms,mean(HH)100ms,stdev(HH)100ms,magnitud(HH)100ms,radius(HH)100ms,covariance(HH)100ms,correlation(HH)100ms,W(HH_jit)100ms,mean(HH_jit)100ms,stdev(HH_jit)100ms,W(HpHp)100ms,mean(HpHp)100ms,stdev(HpHp)100ms,magnitud(HpHp)100ms,radius(HpHp)100ms,covariance(HpHp)100ms,correlation(HpHp)100ms
7,188.8571429,29.93564526,13,221.5384615,21.04208238,13,221.5384615,21.04208238,308.9926374,466.628205,9409.715315,0.999991316,7,440.5714286,21.36084536,13,221.5384615,21.04208238,308.9926374,466.628205,9409.715315,0.999991316,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,302.3146963,154.0344143,8443.355982,0.975671913,3,425,19.67231557,5,215.4,12.13672114,302.3146963,155.6872831,9401.724537,0.99943278,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,303.3514793,152.189447,9441.096572,0.99894474,3,425,19.67231557,5,215.4,12.13672114,303.2307951,153.434667,9497.714454,0.999496228,1,216,0,2,222.5,20.50609665,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1,1,446,0,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1,1,216,0,2,222.5,20.50609665,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1,1,446,0,2,222.5,20.50609665,314.6625176,594.676803,9973.806956,1
3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,302.3146963,153.8964045,7283.931971,0.887780026,3,425,19.67231557,5,215.4,12.13672114,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,306.7186097,445.0549433,8342.104475,0.974749755,24,425.25,5.05835512,8,212.125,7.100050302,306.7186097,445.6297026,9296.381783,0.99928375,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,307.7405562,444.4197672,9334.834795,0.998744654,5,428.2,5.215361924,7,213.4285714,6.5538066,307.6215939,444.8477253,9391.372185,0.999355277,2,179.5,13.43502884,2,222.5,20.50609665,2,222.5,20.50609665,308.4334774,422.2375964,9635.508908,0.995789939,1,446,0,2,222.5,20.50609665,308.3147825,422.6880138,9699.63155,0.996991236,2,179.5,13.43502884,2,222.5,20.50609665,2,222.5,20.50609665,308.4334774,422.2375964,9635.508908,0.995789939,1,446,0,2,222.5,20.50609665,308.3147825,422.6880138,9699.63155,0.996991236
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,7,188.8571429,29.93564526,13,221.5384615,21.04208238,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,7,440.5714286,21.36084536,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,7,188.8571429,29.93564526,13,221.5384615,21.04208238,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,7,440.5714286,21.36084536,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,307.7405562,444.4197672,9334.834795,0.998744654,5,428.2,5.215361924,7,213.4285714,6.5538066,307.6215939,444.8477253,9391.372185,0.999355277,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,307.2093749,361.5419433,9416.553648,0.998560313,5,428.2,5.215361924,7,213.4285714,6.5538066,307.0902068,362.0678749,9474.065128,0.999221359
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,310.2690987,338.8964674,7469.218845,0.880306277,48,425.25,5.00425351,8,212.125,7.100050302,310.2690987,339.713471,9716.251666,0.998766456,6,189.8333333,30.12252756,7,226.4285714,18.32900382,7,226.4285714,18.32900382,310.2690987,338.9591614,8699.151543,0.972041317,4,397,110.2149415,7,226.4285714,18.32900382,310.2690987,339.713471,9716.251666,0.998766456,6,189.8333333,30.12252756,7,226.4285714,18.32900382,7,226.4285714,18.32900382,311.2793889,338.1247404,9755.023435,0.99808256,4,397,110.2149415,7,226.4285714,18.32900382,311.1617796,338.6870374,9815.757857,0.998860899,7,188.8571429,29.93564526,13,221.5384615,21.04208238,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,7,440.5714286,21.36084536,13,221.5384615,21.04208238,316.7793994,555.7954606,9730.4017,0.999930094,4,201.5,35.9768444,10,220.8,18.96077823,10,220.8,18.96077823,312.2583546,508.4254892,9472.889666,1,5,442.6,25.52057993,10,220.8,18.96077823,312.2583546,508.4254892,9472.889666,1
6,189.8333333,30.12252756,7,226.4285714,18.32900382,7,226.4285714,18.32900382,317.1023462,466.0397003,10024.5621,0.999972248,4,397,110.2149415,7,226.4285714,18.32900382,317.1023462,466.0397003,10024.5621,0.999972248,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,307.0521383,326.1262191,8554.392758,0.970264995,24,425.25,5.05835512,8,212.125,7.100050302,307.0521383,326.9101407,9568.248883,0.99836881,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.0516573,38.26666667,10801.17007,0.999923005,5,428.2,5.215361924,7,213.4285714,6.5538066,318.936914,42.95238095,10860.76759,0.999998394,6,189.8333333,30.12252756,7,226.4285714,18.32900382,7,226.4285714,18.32900382,311.2793889,338.1247404,9755.023435,0.99808256,4,397,110.2149415,7,226.4285714,18.32900382,311.1617796,338.6870374,9815.757857,0.998860899,3,172,1,10,220.8,18.96077823,10,220.8,18.96077823,323.1851482,359.5111111,10795.89951,0.999148413,5,442.6,25.52057993,10,220.8,18.96077823,323.1851482,359.5111111,10795.89951,0.999148413
5,192.8,23.57328997,5,222,17.97220076,5,222,17.97220076,307.0521383,326.0610577,7328.626233,0.876747499,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,5,192.8,23.57328997,5,222,17.97220076,5,222,17.97220076,307.0521383,326.1262191,8554.392758,0.970264995,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,5,192.8,23.57328997,1,237,0,1,237,0,319.0516573,38.26666667,10801.17007,0.999923005,1,437,0,1,237,0,318.936914,42.95238095,10860.76759,0.999998394,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.0516573,38.26666667,10801.17007,0.999923005,5,428.2,5.215361924,7,213.4285714,6.5538066,318.936914,42.95238095,10860.76759,0.999998394,1,241,0,1,236,0,1,236,0,333.7544007,0,12324.66667,1,1,236,0,1,236,0,333.7544007,0,12324.66667,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,5,192.8,23.57328997,1,237,0,1,237,0,319.0516573,38.26666667,10801.17007,0.999923005,1,437,0,1,237,0,318.936914,42.95238095,10860.76759,0.999998394,5,179.6,18.67618805,1,236,0,1,236,0,318.3095349,38.26666667,10755.50185,0.999923198,1,236,0,1,236,0,318.194524,42.95238095,10814.845,0.999998366
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.0516573,38.26666667,10801.17007,0.999923005,5,428.2,5.215361924,7,213.4285714,6.5538066,318.936914,42.95238095,10860.76759,0.999998394
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,302.3146963,153.8964045,7283.931971,0.887780026,48,425.25,5.00425351,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,300.2825557,320.781389,8060.849045,0.977541255,24,425.25,5.05835512,8,212.125,7.100050302,300.2825557,321.5783401,8960.922628,0.999687815,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,315.7969601,357.8518936,10068.73367,0.997521376,5,428.2,5.215361924,7,213.4285714,6.5538066,315.6810338,358.3832404,10132.64656,0.998420015,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1,3,202.6666667,26.85764944,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,310.0954732,507.0167804,9120.462491,0.998670888,3,425,19.67231557,5,215.4,12.13672114,310.0954732,507.0167804,9120.462491,0.998670888,16,178.5625,15.65021299,13,212.5384615,17.82140747,13,212.5384615,17.82140747,313.6127678,535.141984,9141.943684,0.999534936,7,395.5714286,70.5427935,13,212.5384615,17.82140747,313.6127678,535.141984,9141.943684,0.999534936,1,242,0,5,232.6,18.86266153,5,232.6,18.86266153,328.9460746,503.1771855,10853.0648,1,3,456,25.35744467,5,232.6,18.86266153,328.9460746,503.1771855,10853.0648,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,315.7969601,357.8518936,10068.73367,0.997521376,5,428.2,5.215361924,7,213.4285714,6.5538066,315.6810338,358.3832404,10132.64656,0.998420015,2,178,7.071067812,1,237,0,1,237,0,319.0516573,38.26666667,10801.17007,0.999923005,1,437,0,1,237,0,318.936914,42.95238095,10860.76759,0.999998394
