,Feature,Fisher Score
22,correlation(HpHp)1m,46.31008276
12,correlation(HH)1m,42.50850077
58,correlation(HH)1.5s,7.570502856
45,correlation(HpHp)10s,5.535084849
9,magnitud(HH)1m,4.43569081
19,magnitud(HpHp)1m,3.309474563
35,correlation(HH)10s,3.182931465
7,mean(HH)1m,2.811625633
17,mean(HpHp)1m,2.023767911
4,mean(M)1m,1.788904517
11,covariance(HH)1m,1.71502785
1,mean(H)1m,1.355536859
68,correlation(HpHp)1.5s,1.30472165
21,covariance(HpHp)1m,1.203355694
8,stdev(HH)1m,1.028782633
112,radius(HpHp)100ms,0.978203418
34,covariance(HH)10s,0.794676199
62,W(HpHp)1.5s,0.78308352
55,magnitud(HH)1.5s,0.772386181
102,radius(HH)100ms,0.76823295
18,stdev(HpHp)1m,0.764140315
2,stdev(H)1m,0.659945479
5,stdev(M)1m,0.652940633
44,covariance(HpHp)10s,0.602517575
10,radius(HH)1m,0.595941239
32,magnitud(HH)10s,0.54171587
57,covariance(HH)1.5s,0.534328941
103,covariance(HH)100ms,0.511063247
42,magnitud(HpHp)10s,0.479091342
20,radius(HpHp)1m,0.456175626
24,mean(H)10s,0.415875852
90,covariance(HpHp)500ms,0.413912316
53,mean(HH)1.5s,0.393893622
91,correlation(HpHp)500ms,0.391189198
81,correlation(HH)500ms,0.363940137
30,mean(HH)10s,0.309025447
40,mean(HpHp)10s,0.273646066
101,magnitud(HH)100ms,0.256268165
111,magnitud(HpHp)100ms,0.205372571
25,stdev(H)10s,0.204390765
113,covariance(HpHp)100ms,0.20419605
80,covariance(HH)500ms,0.200107054
59,W(HH_jit)1.5s,0.192079118
50,mean(M)1.5s,0.178912912
27,mean(M)10s,0.177298907
108,W(HpHp)100ms,0.17483999
31,stdev(HH)10s,0.172946155
54,stdev(HH)1.5s,0.168366128
41,stdev(HpHp)10s,0.165602979
65,magnitud(HpHp)1.5s,0.153013262
82,W(HH_jit)500ms,0.135968573
33,radius(HH)10s,0.135319706
43,radius(HpHp)10s,0.120088491
47,mean(H)1.5s,0.098898886
88,magnitud(HpHp)500ms,0.096631849
51,stdev(M)1.5s,0.094192229
72,W(M)500ms,0.091234984
99,mean(HH)100ms,0.086722587
28,stdev(M)10s,0.085017377
78,magnitud(HH)500ms,0.080803496
49,W(M)1.5s,0.076310085
109,mean(HpHp)100ms,0.075114519
56,radius(HH)1.5s,0.068694879
93,mean(H)100ms,0.066630342
100,stdev(HH)100ms,0.060485666
63,mean(HpHp)1.5s,0.058266681
74,stdev(M)500ms,0.056492379
89,radius(HpHp)500ms,0.05387821
70,mean(H)500ms,0.052774851
79,radius(HH)500ms,0.052553307
48,stdev(H)1.5s,0.04482868
96,mean(M)100ms,0.044465608
106,mean(HH_jit)100ms,0.041671088
67,covariance(HpHp)1.5s,0.041196951
66,radius(HpHp)1.5s,0.040605539
14,mean(HH_jit)1m,0.037798043
87,stdev(HpHp)500ms,0.035812599
73,mean(M)500ms,0.034438339
86,mean(HpHp)500ms,0.031578277
77,stdev(HH)500ms,0.029050915
76,mean(HH)500ms,0.02804883
71,stdev(H)500ms,0.026918895
37,mean(HH_jit)10s,0.021553474
15,stdev(HH_jit)1m,0.018561953
38,stdev(HH_jit)10s,0.014263933
114,correlation(HpHp)100ms,0.012437232
16,W(HpHp)1m,0.011845089
94,stdev(H)100ms,0.011792926
60,mean(HH_jit)1.5s,0.011323047
97,stdev(M)100ms,0.010463633
104,correlation(HH)100ms,0.010349278
46,W(H)1.5s,0.010267119
92,W(H)100ms,0.009718854
6,W(HH)1m,0.007087323
107,stdev(HH_jit)100ms,0.006668057
64,stdev(HpHp)1.5s,0.004199638
23,W(H)10s,0.003545781
83,mean(HH_jit)500ms,0.003324141
69,W(H)500ms,0.002391478
39,W(HpHp)10s,0.001820376
52,W(HH)1.5s,0.001782923
84,stdev(HH_jit)500ms,0.000723465
110,stdev(HpHp)100ms,0.000427088
0,W(H)1m,0.000412061
29,W(HH)10s,0.000369679
61,stdev(HH_jit)1.5s,0.000283329
36,W(HH_jit)10s,0.00011436
75,W(HH)500ms,0.000113049
13,W(HH_jit)1m,4.33E-05
85,W(HpHp)500ms,3.97E-05
26,W(M)10s,2.74E-05
3,W(M)1m,2.47E-05
105,W(HH_jit)100ms,0
98,W(HH)100ms,0
95,W(M)100ms,0
